id,term,normalized,canonical,aliases,categories,subcategories,priority,active,source,kind
tech_391b6629d9b645d3,.NET,net,.NET,Dotnet | Dot Net,Backend & APIs,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_12ab4874e2b5d441,.NET Core,net core,.NET Core,Dotnet Core,Backend & APIs,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_0de82190f2d6673c,.NET MAUI,net maui,.NET MAUI,MAUI,Mobile & Desktop,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_ae9775cc31ae3b6a,Acceptance Testing,acceptance testing,Acceptance Testing,,Testing & Quality Assurance,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_aba958d679002b2e,Accessibility,accessibility,Accessibility,A11y,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_434b0a6daa530638,ACID,acid,ACID,,"Protocols, Networking & Architecture",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_d0aeff3f2e3e4acf,Advanced Custom Fields,advanced custom fields,Advanced Custom Fields,ACF,"CMS, eCommerce & Marketing Tech",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_9b214a0fbc91794f,AES,aes,AES,,"Security, Identity & Compliance",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_5a5ef8714fff854a,Agentic AI,agentic ai,Agentic AI,AI Agents,"AI, ML & Generative AI",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_e7c84e21251fe45d,Airbyte,airbyte,Airbyte,,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_4482611cc290c2ce,AJAX,ajax,AJAX,,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_3c2de5591e291cfd,AlmaLinux,almalinux,AlmaLinux,,"DevOps, SRE & Infrastructure",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_6d54ee4766f33861,Amazon Aurora,amazon aurora,Amazon Aurora,Aurora,"Databases, Search & Storage",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_f1dab8c9539a81fe,Amazon RDS,amazon rds,Amazon RDS,RDS,"Databases, Search & Storage",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_baf2a23fb325ef86,Amazon Redshift,amazon redshift,Amazon Redshift,Redshift,"Databases, Search & Storage",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_201fc5c87354aae4,Amazon S3,amazon s3,Amazon S3,S3,"Databases, Search & Storage",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_42b52d4d35d1824d,Amazon Web Services,amazon web services,Amazon Web Services,AWS,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_56c978a09c1c5435,AMQP,amqp,AMQP,,"Protocols, Networking & Architecture",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_e4bbe5b7a4c1eb55,Android,android,Android,,Mobile & Desktop,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_7961ebf934556688,Android SDK,android sdk,Android SDK,,Mobile & Desktop,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_54e0c177acca401a,Angular,angular,Angular,,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_c7872ea9f5fc81bc,AngularJS,angularjs,AngularJS,,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_3b24ecf0c117e396,Anomaly Detection,anomaly detection,Anomaly Detection,,"AI, ML & Generative AI",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_bef45157a43c9e5f,Ansible,ansible,Ansible,,"DevOps, SRE & Infrastructure",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_c86157a61a284407,Ant Design,ant design,Ant Design,AntD,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_4d70babb4690b4a5,Anthropic API,anthropic api,Anthropic API,Anthropic,"AI, ML & Generative AI",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_d6e3849969833a5d,Apache Airflow,apache airflow,Apache Airflow,Airflow,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_e5f842d99158b4ce,Apache Arrow,apache arrow,Apache Arrow,Arrow,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_32f14fa443ca22e1,Apache Beam,apache beam,Apache Beam,Beam,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_ba42358d82374900,Apache HTTP Server,apache http server,Apache HTTP Server,Apache,"DevOps, SRE & Infrastructure",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_bc4b66a70cf89f03,Apache Hudi,apache hudi,Apache Hudi,Hudi,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_2342b7fbf9aca028,Apache Iceberg,apache iceberg,Apache Iceberg,Iceberg,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_5dd9422f45dcd2f9,Apache Kafka,apache kafka,Apache Kafka,Kafka,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_f44a3215b34b36b7,Apache Pulsar,apache pulsar,Apache Pulsar,Pulsar,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_2885544dae7715a0,Apache Solr,apache solr,Apache Solr,Solr,"Databases, Search & Storage",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_fc11db6a469f688a,Apache Spark,apache spark,Apache Spark,Spark,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_d6ec8b69568b8596,Apex,apex,Apex,,Programming Languages,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_98989e06bd28025e,API Gateway,api gateway,API Gateway,,"Backend & APIs | Protocols, Networking & Architecture",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_a4505dd4989784d3,API Management,api management,API Management,,Backend & APIs,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_73a842a195c6a009,API Testing,api testing,API Testing,,Testing & Quality Assurance,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_dd849fb97f996ac3,API Versioning,api versioning,API Versioning,,Backend & APIs,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_b3ba5be6d70b3403,Apple Push Notification Service,apple push notification service,Apple Push Notification Service,APNs,Mobile & Desktop,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_fc385582edf59e27,Application Security,application security,Application Security,AppSec,"Security, Identity & Compliance",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_1f9aa6577198dd5f,ArangoDB,arangodb,ArangoDB,,"Databases, Search & Storage",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_4891b96084d8ecd7,ArcGIS Maps SDK for JavaScript,arcgis maps sdk for javascript,ArcGIS Maps SDK for JavaScript,ArcGIS JavaScript,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_16b131bd104f1bbd,Argo CD,argo cd,Argo CD,ArgoCD,"DevOps, SRE & Infrastructure",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_c7562ac4e68e615b,Argon2,argon2,Argon2,,"Security, Identity & Compliance",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_21839c83f19b411a,Artificial Intelligence,artificial intelligence,Artificial Intelligence,AI,"AI, ML & Generative AI",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_56382a589d82a5b1,ASP.NET Core,asp.net core,ASP.NET Core,ASP.NET,Backend & APIs,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_7bf38d14ad50c4d2,Assembly Language,assembly language,Assembly Language,Assembly,Programming Languages,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_90c9d7bdfb9d0c5e,Astro,astro,Astro,,Frontend & Web,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_eb87910589f80ad0,Attribute-Based Access Control,attribute-based access control,Attribute-Based Access Control,ABAC,"Security, Identity & Compliance",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_cd590e4db5586153,Audit Logging,audit logging,Audit Logging,,"Security, Identity & Compliance",,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_98dff5b36e53129a,Avro,avro,Avro,Apache Avro,Data Engineering & Analytics,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_d299c24ea3df378f,AWS ALB,aws alb,AWS ALB,Application Load Balancer,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_1d89b2424f4a1641,AWS API Gateway,aws api gateway,AWS API Gateway,Amazon API Gateway,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_08dfd11d6395c604,AWS Athena,aws athena,AWS Athena,Amazon Athena,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_f93df736babdf63b,AWS Aurora,aws aurora,AWS Aurora,Amazon Aurora,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_8e96c39c7770e3e4,AWS Auto Scaling,aws auto scaling,AWS Auto Scaling,Auto Scaling,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_4d3cd417ef61eb6a,AWS Bedrock,aws bedrock,AWS Bedrock,Amazon Bedrock,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_d770e17c20bc91e9,AWS CDK,aws cdk,AWS CDK,Cloud Development Kit,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_35949bf28aff03fb,AWS CloudFormation,aws cloudformation,AWS CloudFormation,CloudFormation,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
tech_a8413d5b695148f5,AWS CloudFront,aws cloudfront,AWS CloudFront,CloudFront,Cloud - AWS,,80,True,Curated eSupraLife technical vocabulary,technical_autosuggestion
