id,term,normalized,preferred_term,entry_terms,acronyms,departments,canonical_skill_ids,mesh_id,is_official_mesh_record,official_sync_required,priority,active,source,source_url,kind
meshlocal_57e2a2c5d8fa20ff,Computed Tomography (CT Scan),computed tomography ct scan,Computed Tomography (CT Scan),CT | CT scan | computed tomography | CAT scan,CT,,skill_57e2a2c5d8fa20ff,,False,True,100,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_e1d80e756fa0cd4f,Magnetic Resonance Imaging (MRI),magnetic resonance imaging mri,Magnetic Resonance Imaging (MRI),MRI | MRI scan | magnetic resonance imaging | MR imaging,MRI,,skill_e1d80e756fa0cd4f,,False,True,100,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_946a366f4d952cf4,Positron Emission Tomography (PET Scan),positron emission tomography pet scan,Positron Emission Tomography (PET Scan),PET | PET scan | positron emission tomography,PET,,skill_946a366f4d952cf4,,False,True,100,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_054fbd860ad41c57,Traumatic Brain Injury,traumatic brain injury,Traumatic Brain Injury,TBI | brain injury | head injury | head trauma | traumatic head injury | Traumatic Brain Injury (TBI),TBI,Acute internal medicine | Neurology | Neuropathology | Rehabilitation,skill_0383cba3cbafb097,,False,True,100,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_63b525653e2b85eb,Ultrasound,ultrasound,Ultrasound,ultrasound | ultrasound scan | ultrasonography | sonography,,,skill_63b525653e2b85eb,,False,True,100,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_a9c8520cda20e8b0,X-ray / Radiography,x-ray / radiography,X-ray / Radiography,X-ray | X ray | radiography | radiograph,,,skill_50d12f7a4f37f338,,False,True,100,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_ace7367c6adfcce7,17-Hydroxylase Deficiency Syndrome,17-hydroxylase deficiency syndrome,17-Hydroxylase Deficiency Syndrome,,,Pediatrics Medicine,skill_02ddb3a0995b762f,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_c5a88eb7d16322c5,2-Octyl Cyanoacrylate (Dermabond) Wound Adhesives,2-octyl cyanoacrylate dermabond wound adhesives,2-Octyl Cyanoacrylate (Dermabond) Wound Adhesives,,,Plastic surgery,skill_a0eb1e36af4431f3,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_18b9408c607297f1,3-Beta-Hydroxysteroid Dehydrogenase Deficiency,3-beta-hydroxysteroid dehydrogenase deficiency,3-Beta-Hydroxysteroid Dehydrogenase Deficiency,,,Pediatrics Medicine,skill_7f609b7929d67c20,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_653a9ca08cb4c26c,3-Quinuclidinyl Benzilate Poisoning,3-quinuclidinyl benzilate poisoning,3-Quinuclidinyl Benzilate Poisoning,,,Emergency medicine | Neurology,skill_b1cedeed5fff0be3,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_d592739808580a98,3D Printing in Reconstruction,3d printing in reconstruction,3D Printing in Reconstruction,,,Plastic surgery,skill_d592739808580a98,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8af0d9bf64a5e3ab,5-Alpha-Reductase Deficiency,5-alpha-reductase deficiency,5-Alpha-Reductase Deficiency,,,Pediatrics Medicine,skill_af5222ed1f53bb6e,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_ad0557004dae7200,: Diagnostics in Microbiology and Virology,diagnostics in microbiology and virology,: Diagnostics in Microbiology and Virology,,,Microbiology and virology,skill_ad0557004dae7200,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_8e8d6765588670c8,: Microneedling and Skin Rejuvenation,microneedling and skin rejuvenation,: Microneedling and Skin Rejuvenation,,,Medical Aesthetics,skill_8e8d6765588670c8,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_a480d5828bc93aa8,A-Pattern Esotropia and Exotropia,a-pattern esotropia and exotropia,A-Pattern Esotropia and Exotropia,,,Ophthalmology,skill_7a340c249d4a4f45,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_19bb942d1214adaf,AA (Inflammatory) Amyloidosis,aa inflammatory amyloidosis,AA (Inflammatory) Amyloidosis,AA,AA,Rheumatology,skill_19bb942d1214adaf,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_644b5feeafd22316,Abacavir and HLA-B*5701,abacavir and hla-b 5701,Abacavir and HLA-B*5701,HLA,HLA,Genetics / Genomics,skill_fcb83da401cf2999,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_75d46294912ae28f,Abdomen,abdomen,Abdomen,,,General surgery,skill_75d46294912ae28f,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_797ca341f7552067,Abdominal Abscess,abdominal abscess,Abdominal Abscess,,,General surgery,skill_797ca341f7552067,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_e1f118cdd427c3c6,Abdominal and Pelvic Trauma,abdominal and pelvic trauma,Abdominal and Pelvic Trauma,,,General surgery,skill_e1f118cdd427c3c6,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_02f5df243f9f3995,Abdominal Angina,abdominal angina,Abdominal Angina,,,General surgery | Vascular and endovascular surgery,skill_02f5df243f9f3995,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_48878efc91ff64f5,Abdominal Aortic Aneurysm,abdominal aortic aneurysm,Abdominal Aortic Aneurysm,,,Vascular and endovascular surgery,skill_48878efc91ff64f5,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_5ce5255d30258993,Abdominal Aortic Aneurysms: Surgical and Endovascular Repair,abdominal aortic aneurysms surgical and endovascular repair,Abdominal Aortic Aneurysms: Surgical and Endovascular Repair,,,General surgery,skill_5ce5255d30258993,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_d6a30951cc692fb8,Abdominal Closure,abdominal closure,Abdominal Closure,,,Gastrointestinal Surgery,skill_d6a30951cc692fb8,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_b42c1377831580e4,Abdominal Compartment Syndrome,abdominal compartment syndrome,Abdominal Compartment Syndrome,,,Emergency medicine | Gastro-enterology,skill_b42c1377831580e4,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_e7a6542ff89fb811,Abdominal Hernias,abdominal hernias,Abdominal Hernias,,,Emergency medicine | General surgery,skill_e7a6542ff89fb811,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_c3554f420cc2adc8,Abdominal Pain in Elderly Persons,abdominal pain in elderly persons,Abdominal Pain in Elderly Persons,,,Emergency medicine | Gastro-enterology,skill_c3554f420cc2adc8,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_dfb51aa5a37f4390,Abdominal Stab Wound Exploration,abdominal stab wound exploration,Abdominal Stab Wound Exploration,,,General surgery | Plastic surgery,skill_dfb51aa5a37f4390,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
meshlocal_c68974630291f3a6,Abdominal Wall Reconstruction,abdominal wall reconstruction,Abdominal Wall Reconstruction,,,Medical Aesthetics | Plastic surgery,skill_c68974630291f3a6,,False,True,60,True,eSupraLife clinical vocabulary; NLM MeSH enrichment target,https://www.nlm.nih.gov/mesh/,mesh_enrichment_candidate
